race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-02,14,15,アウェイクネス,ヴァールザーゲン,0.02065817159087121,0.019483032506445053,0.0011751390844261557,1.0603160254461115,14,20.703049135754515,20.703049135754515,0
2026-0704-02-01-07-02,15,16,ヴァールザーゲン,ホウショウリュウ,0.019483032506445053,0.015739265866979057,0.0037437666394659966,1.2378615795111771,15,37.89085259273645,37.89085259273645,0
2026-0704-02-01-07-03,1,2,ギンケイ,ペガサスウィンド,0.3095101650857338,0.2937679921915026,0.015742172894231188,1.0535870935999356,1,72.51893571567295,72.51893571567295,0
2026-0704-02-01-07-03,2,3,ペガサスウィンド,ラショナルポイント,0.2937679921915026,0.2934418608744041,0.0003261313170985214,1.001111400112195,2,13.38123907554865,13.38123907554865,0
2026-0704-02-01-07-03,3,4,ラショナルポイント,ウォータースパウト,0.2934418608744041,0.11108431270001046,0.18235754817439365,2.641613867359117,3,99.80578753155953,99.80578753155953,1
2026-0704-02-01-07-03,4,5,ウォータースパウト,ブリスフルイヤー,0.11108431270001046,0.08734802753465173,0.023736285165358723,1.271743802754359,4,81.18081180811808,81.18081180811808,0
2026-0704-02-01-07-03,5,6,ブリスフルイヤー,ルージュリヴィエラ,0.08734802753465173,0.0737612669659575,0.013586760568694234,1.1841991214029015,5,69.33385123324918,69.33385123324918,0
2026-0704-02-01-07-03,6,7,ルージュリヴィエラ,マスカルポーネ,0.0737612669659575,0.04910280422549116,0.02465846274046634,1.5021803363251742,6,81.86055544765975,81.86055544765975,0
2026-0704-02-01-07-03,7,8,マスカルポーネ,ルージュボニート,0.04910280422549116,0.028521167364833473,0.020581636860657688,1.7216267341860205,7,78.63662847154788,78.63662847154788,0
2026-0704-02-01-07-03,8,9,ルージュボニート,ハヤブサブロー,0.028521167364833473,0.027291717289024013,0.0012294500758094594,1.0450484688372434,8,21.246844047387842,21.246844047387842,0
2026-0704-02-01-07-03,9,10,ハヤブサブロー,ハスカップジャム,0.027291717289024013,0.021793961335242012,0.005497755953782001,1.252260516994303,9,46.727519906778014,46.727519906778014,0
2026-0704-02-01-07-03,10,11,ハスカップジャム,テリオスリコ,0.021793961335242012,0.01853767933572708,0.0032562819995149324,1.1756574779691653,10,35.23014177510196,35.23014177510196,0
2026-0704-02-01-07-04,1,2,スッサンエア,フルムーン,0.18848617017537342,0.1866210644477368,0.0018651057276366234,1.0099940793562399,1,25.694309574674694,25.694309574674694,0
2026-0704-02-01-07-04,2,3,フルムーン,ブラックジャック,0.1866210644477368,0.09699347172498873,0.08962759272274806,1.9240579920355303,2,96.89260050495243,96.89260050495243,1
2026-0704-02-01-07-04,3,4,ブラックジャック,ゲレイロ,0.09699347172498873,0.06608672736257042,0.030906744362418317,1.4676694639886645,3,85.58943484171684,85.58943484171684,0
2026-0704-02-01-07-04,4,5,ゲレイロ,ソチミルコ,0.06608672736257042,0.05123697741295917,0.014849749949611246,1.2898248628119768,4,70.9846572149932,70.9846572149932,0
2026-0704-02-01-07-04,5,6,ソチミルコ,フクノアンタレス,0.05123697741295917,0.04446456334677802,0.006772414066181148,1.152310369346557,5,51.97125655467081,51.97125655467081,0
2026-0704-02-01-07-04,6,7,フクノアンタレス,ホウオウザロイヤル,0.04446456334677802,0.04429187889062969,0.00017268445614833372,1.0038987837155147,6,11.769275587492716,11.769275587492716,0
2026-0704-02-01-07-04,7,8,ホウオウザロイヤル,ルージュフィーリア,0.04429187889062969,0.04429187889062969,0.0,1.0,7,9.671780928335599,9.671780928335599,0
2026-0704-02-01-07-04,8,9,ルージュフィーリア,スカイプレリュード,0.04429187889062969,0.04165806638400142,0.0026338125066282664,1.0632245501351394,8,31.714896096329387,31.714896096329387,0
2026-0704-02-01-07-04,9,10,スカイプレリュード,ディサイドオンミー,0.04165806638400142,0.03884296157305762,0.002815104810943804,1.0724740003578004,9,32.685958438531756,32.685958438531756,0
2026-0704-02-01-07-04,10,11,ディサイドオンミー,ロードクラシコ,0.03884296157305762,0.03517385539280564,0.0036691061802519784,1.1043134492729634,10,37.5412701495436,37.5412701495436,0
2026-0704-02-01-07-04,11,12,ロードクラシコ,ヤジロベエバランス,0.03517385539280564,0.025227168059150252,0.009946687333655387,1.3942847374042677,11,61.52651000194213,61.52651000194213,0
2026-0704-02-01-07-04,12,13,ヤジロベエバランス,グローリアスダンス,0.025227168059150252,0.02495389459656157,0.0002732734625886836,1.0109511347630016,12,12.818022917071275,12.818022917071275,0
2026-0704-02-01-07-04,13,14,グローリアスダンス,オリヒメボシ,0.02495389459656157,0.02310191938103882,0.0018519752155227477,1.0801654262997202,13,25.597203340454456,25.597203340454456,0
2026-0704-02-01-07-04,14,15,オリヒメボシ,チェリーブルーム,0.02310191938103882,0.01844243719399961,0.00465948218703921,1.2526500233144462,14,42.979219265876864,42.979219265876864,0
2026-0704-02-01-07-04,15,16,チェリーブルーム,カテドラルクォーツ,0.01844243719399961,0.014020242506852208,0.004422194687147402,1.3154149926426817,15,41.60031073994951,41.60031073994951,0
2026-0704-02-01-07-05,1,2,リキサンステラ,リアルクウカイ,0.12868497496060682,0.12868497496060682,0.0,1.0,1,9.671780928335599,9.671780928335599,0
2026-0704-02-01-07-05,2,3,リアルクウカイ,ダマスク,0.12868497496060682,0.12868497496060682,0.0,1.0,2,9.671780928335599,9.671780928335599,0
